t(s)	total_voltage(V)
5010	3.4732822
5020	3.4719137
5030	3.4705373
5040	3.4691532
5050	3.4677618
5060	3.4663633
5070	3.4649579
5080	3.463546
5090	3.4621279
5100	3.4607041
5110	3.4592748
5120	3.4578404
5130	3.4564015
5140	3.4549583
5150	3.4535113
5160	3.452061
5170	3.4506079
5180	3.4491523
5190	3.4476948
5200	3.4462359
5210	3.444776
5220	3.4433156
5230	3.4418552
5240	3.4403954
5250	3.4389364
5260	3.4374789
5270	3.4360233
5280	3.43457
5290	3.4331195
5300	3.4316723
5310	3.4302286
5320	3.428789
5330	3.4273538
5340	3.4259233
5350	3.424498
5360	3.4230782
5370	3.421664
5380	3.420256
5390	3.4188542
5400	3.417459
5410	3.4160705
5420	3.4146889
5430	3.4133145
5440	3.4119473
5450	3.4105875
5460	3.4092352
5470	3.4078904
5480	3.4065532
5490	3.4052235
5500	3.4039015
5510	3.402587
5520	3.4012799
5530	3.3999803
5540	3.398688
5550	3.3974028
5560	3.3961246
5570	3.3948532
5580	3.3935884
5590	3.39233
5600	3.3910776
5610	3.3898311
5620	3.3885901
5630	3.3873542
5640	3.3861232
5650	3.3848965
5660	3.3836739
5670	3.3824549
5680	3.3812389
5690	3.3800257
5700	3.3788145
5710	3.377605
5720	3.3763965
5730	3.3751885
5740	3.3739803
5750	3.3727714
5760	3.371561
5770	3.3703486
5780	3.3691334
5790	3.3679146
5800	3.3666916
5810	3.3654635
5820	3.3642296
5830	3.362989
5840	3.3617408
5850	3.3604842
5860	3.3592184
5870	3.3579422
5880	3.3566548
5890	3.3553552
5900	3.3540422
5910	3.352715
5920	3.3513723
5930	3.3500129
5940	3.3486358
5950	3.3472396
5960	3.345823
5970	3.3443848
5980	3.3429234
5990	3.3414374
6000	3.3399252
6010	3.3383853
6020	3.3368159
6030	3.3352152
6040	3.3335813
6050	3.3319122
6060	3.3302058
6070	3.3284599
6080	3.3266721
6090	3.3248401
6100	3.3229611
6110	3.3210326
6120	3.3190516
6130	3.3170151
6140	3.3149202
6150	3.3127636
6160	3.3105419
6170	3.3082518
6180	3.3058898
6190	3.3034525
6200	3.3009363
6210	3.2983378
6220	3.2956534
6230	3.29288
6240	3.2900144
6250	3.2870538
6260	3.2839954
6270	3.2808371
6280	3.2775769
6290	3.2742133
6300	3.2707454
6310	3.2671728
6320	3.2634958
6330	3.2597149
6340	3.2558316
6350	3.251848
6360	3.2477667
6370	3.243591
6380	3.2393247
6390	3.2349722
6400	3.2305386
6410	3.2260291
6420	3.2214496
6430	3.2168062
6440	3.2121053
6450	3.2073535
6460	3.2025572
6470	3.1977232
6480	3.192858
6490	3.187968
6500	3.1830593
6510	3.1781376
6520	3.1732083
6530	3.1682761
6540	3.1633455
6550	3.1584202
6560	3.1535032
6570	3.1485968
6580	3.1437029
6590	3.1388223
6600	3.1339553
6610	3.1291015
6620	3.1242595
6630	3.1194276
6640	3.1146032
6650	3.1097829
6660	3.104963
6670	3.1001389
6680	3.0953055
6690	3.0904573
6700	3.0855881
6710	3.0806914
6720	3.07576
6730	3.0707864
6740	3.0657628
6750	3.0606807
6760	3.0555316
6770	3.0503063
6780	3.0449954
6790	3.0395891
6800	3.0340774
6810	3.0284498
6820	3.0226954
6830	3.0168031
6840	3.0107613
6850	3.0045583
6860	2.9981818
6870	2.991619
6880	2.9848566
6890	2.9778814
6900	2.9706795
6910	2.9632359
6920	2.9555361
6930	2.9475644
6940	2.9393045
6950	2.93074
6960	2.9218533
6970	2.9126266
6980	2.9030412
6990	2.8930774
7000	2.8827152
7010	2.8719333
7020	2.8607097
7030	2.8490217
7040	2.8368453
7050	2.8241555
7060	2.8109266
7070	2.797131
7080	2.7827406
7090	2.7677256
7100	2.752055
7110	2.7356963
7120	2.7186157
7130	2.7007778
7140	2.6821453
7150	2.6626795
7160	2.6423394
7170	2.6210826
7180	2.5988642
7190	2.5756373
7200	2.551353
7210	2.5259597
7220	2.4994034
