t(s)	total_voltage(V)
6270	4.0300326
6280	4.0297931
6290	4.0295533
6300	4.0293131
6310	4.0290726
6320	4.0288318
6330	4.0285906
6340	4.0283491
6350	4.0281073
6360	4.0278651
6370	4.0276227
6380	4.0273799
6390	4.0271368
6400	4.0268934
6410	4.0266497
6420	4.0264057
6430	4.0261614
6440	4.0259168
6450	4.0256719
6460	4.0254267
6470	4.0251813
6480	4.0249355
6490	4.0246895
6500	4.0244433
6510	4.0241967
6520	4.0239499
6530	4.0237029
6540	4.0234556
6550	4.023208
6560	4.0229602
6570	4.0227121
6580	4.0224638
6590	4.0222153
6600	4.0219665
6610	4.0217175
6620	4.0214683
6630	4.0212189
6640	4.0209692
6650	4.0207193
6660	4.0204692
6670	4.0202189
6680	4.0199684
6690	4.0197177
6700	4.0194668
6710	4.0192157
6720	4.0189644
6730	4.0187129
6740	4.0184612
6750	4.0182093
6760	4.0179573
6770	4.0177051
6780	4.0174527
6790	4.0172001
6800	4.0169474
6810	4.0166945
6820	4.0164415
6830	4.0161883
6840	4.015935
6850	4.0156815
6860	4.0154278
6870	4.015174
6880	4.0149201
6890	4.014666
6900	4.0144118
6910	4.0141575
6920	4.013903
6930	4.0136484
6940	4.0133937
6950	4.0131389
6960	4.0128839
6970	4.0126289
6980	4.0123737
6990	4.0121184
7000	4.011863
7010	4.0116075
7020	4.0113519
7030	4.0110963
7040	4.0108405
7050	4.0105846
7060	4.0103287
7070	4.0100726
7080	4.0098165
7090	4.0095603
7100	4.009304
7110	4.0090477
7120	4.0087912
7130	4.0085347
7140	4.0082782
7150	4.0080216
7160	4.0077649
7170	4.0075081
7180	4.0072513
7190	4.0069945
7200	4.0067375
7210	4.0064806
7220	4.0062236
7230	4.0059665
7240	4.0057094
7250	4.0054523
7260	4.0051952
7270	4.004938
7280	4.0046807
7290	4.0044235
7300	4.0041662
7310	4.0039088
7320	4.0036515
7330	4.0033941
7340	4.0031368
7350	4.0028794
7360	4.002622
7370	4.0023645
7380	4.0021071
7390	4.0018496
7400	4.0015922
7410	4.0013347
7420	4.0010773
7430	4.0008198
7440	4.0005624
7450	4.0003049
7460	4.0000475
7470	3.99979
7480	3.9995326
7490	3.9992752
7500	3.9990178
7510	3.9987604
7520	3.998503
7530	3.9982457
7540	3.9979883
7550	3.997731
7560	3.9974737
7570	3.9972165
7580	3.9969592
7590	3.996702
7600	3.9964448
7610	3.9961877
7620	3.9959306
7630	3.9956735
7640	3.9954164
7650	3.9951594
7660	3.9949025
7670	3.9946456
7680	3.9943887
7690	3.9941318
7700	3.993875
7710	3.9936183
7720	3.9933616
7730	3.9931049
7740	3.9928483
7750	3.9925918
7760	3.9923353
7770	3.9920788
7780	3.9918224
7790	3.9915661
7800	3.9913098
7810	3.9910536
7820	3.9907975
7830	3.9905414
7840	3.9902853
7850	3.9900294
7860	3.9897735
7870	3.9895176
7880	3.9892618
7890	3.9890061
7900	3.9887505
7910	3.9884949
7920	3.9882394
7930	3.987984
7940	3.9877286
7950	3.9874733
7960	3.9872181
7970	3.986963
7980	3.9867079
7990	3.9864529
8000	3.986198
8010	3.9859432
8020	3.9856884
8030	3.9854337
8040	3.9851791
8050	3.9849246
8060	3.9846701
8070	3.9844158
8080	3.9841615
8090	3.9839073
8100	3.9836531
8110	3.9833991
8120	3.9831451
8130	3.9828913
8140	3.9826375
8150	3.9823838
8160	3.9821301
8170	3.9818766
8180	3.9816231
8190	3.9813698
8200	3.9811165
8210	3.9808633
8220	3.9806102
8230	3.9803572
8240	3.9801042
8250	3.9798514
8260	3.9795986
8270	3.9793459
8280	3.9790933
8290	3.9788408
8300	3.9785884
8310	3.9783361
8320	3.9780838
8330	3.9778316
8340	3.9775796
8350	3.9773276
8360	3.9770757
8370	3.9768239
8380	3.9765722
8390	3.9763205
8400	3.976069
8410	3.9758175
8420	3.9755661
8430	3.9753148
8440	3.9750636
8450	3.9748125
8460	3.9745615
8470	3.9743105
8480	3.9740597
8490	3.9738089
8500	3.9735582
8510	3.9733076
8520	3.9730571
8530	3.9728066
8540	3.9725563
8550	3.972306
8560	3.9720558
8570	3.9718057
8580	3.9715557
8590	3.9713058
8600	3.9710559
8610	3.9708061
8620	3.9705564
8630	3.9703068
8640	3.9700573
8650	3.9698078
8660	3.9695584
8670	3.9693091
8680	3.9690599
8690	3.9688108
8700	3.9685617
8710	3.9683127
8720	3.9680638
8730	3.9678149
8740	3.9675662
8750	3.9673175
8760	3.9670689
8770	3.9668203
8780	3.9665718
8790	3.9663234
8800	3.9660751
8810	3.9658268
8820	3.9655786
