x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=5990
89.485714	0	-0.046019094	-0.04728936	-0.047153557	-0.048769513	-0.05379282	-0.056569446	-0.051191413	-0.048593982	-0.052440095	-0.054605696	-0.05706813	-0.059600196	-0.061758103	-0.062846093	0.034472663	0.045305515	0.044062367	0.044273964	0.045896	0.048356066	0.04333308	0.042428539	0.042043386	0.042505049	0.043709064	0.045185088	0.046627183	0.047907024	0.048976228	0.049809138	0.050370008	0.050569945	0.0502531
90.342857	0	-0.046357791	-0.047636655	-0.047502378	-0.049116841	-0.054140874	-0.056921062	-0.051543714	-0.048943056	-0.052788415	-0.054954461	-0.057417692	-0.059950859	-0.062110123	-0.063199581	0.034709518	0.045644766	0.04441276	0.044622857	0.046244366	0.048705765	0.043683316	0.042778445	0.042392834	0.042853757	0.044057406	0.045533562	0.046975969	0.048256148	0.04932567	0.050158871	0.050720021	0.050920268	0.050603804
91.2	0	-0.046696736	-0.047984158	-0.047851408	-0.049464425	-0.054489255	-0.057273	-0.051896253	-0.049292362	-0.053137041	-0.055303564	-0.057767624	-0.060301919	-0.062462557	-0.063553483	0.034946343	0.045984283	0.044763468	0.044972074	0.046593063	0.049055792	0.044033842	0.04312864	0.042742575	0.043202767	0.044406061	0.045882357	0.047325081	0.048605601	0.049675442	0.050508937	0.051070367	0.051270923	0.050954841
92.057143	0	-0.047035941	-0.048331883	-0.048200662	-0.049812277	-0.054837974	-0.057625272	-0.052249041	-0.049641913	-0.053485985	-0.055653015	-0.058117935	-0.060653386	-0.062815418	-0.06390781	0.03518317	0.046324082	0.045114508	0.045321631	0.046942108	0.049406163	0.044384676	0.043479141	0.043092626	0.043552098	0.044755047	0.046231491	0.047674537	0.048955402	0.050025565	0.050859354	0.051421065	0.051621929	0.051306229
92.914286	0	-0.047375416	-0.04867984	-0.048550151	-0.050160408	-0.055187041	-0.057977889	-0.05260209	-0.04999172	-0.053835258	-0.056002826	-0.058468638	-0.061005273	-0.063168715	-0.064262575	0.035420031	0.046664181	0.0454659	0.045671547	0.047291521	0.049756899	0.044735837	0.043829968	0.043443005	0.043901767	0.045104382	0.046580982	0.048024356	0.04930557	0.050376056	0.05121014	0.051772132	0.051973305	0.051657987
93.771429	0	-0.047715174	-0.049028043	-0.048899887	-0.05050883	-0.05553647	-0.058330864	-0.052955413	-0.050341795	-0.054184872	-0.056353009	-0.058819743	-0.061357591	-0.063522462	-0.064617788	0.035656956	0.047004598	0.045817662	0.046021841	0.047641319	0.050108018	0.045087342	0.044181137	0.04379373	0.044251793	0.045454083	0.046930849	0.048374557	0.049656123	0.050726935	0.051561315	0.052123589	0.052325071	0.052010133
94.628571	0	-0.048055227	-0.049376501	-0.049249881	-0.050857555	-0.055886269	-0.058684208	-0.053309023	-0.050692151	-0.054534838	-0.056703575	-0.059171263	-0.06171035	-0.063876669	-0.064973462	0.035893978	0.04734535	0.046169813	0.046372532	0.047991522	0.050459539	0.045439212	0.044532668	0.044144821	0.044602195	0.045804171	0.04728111	0.048725158	0.05000708	0.05107822	0.051912898	0.052475454	0.052677245	0.052362689
95.485714	0	-0.048395585	-0.049725229	-0.049600147	-0.051206593	-0.056236452	-0.059037933	-0.05366293	-0.051042798	-0.054885167	-0.057054534	-0.059523208	-0.062063562	-0.064231348	-0.065329608	0.036131127	0.047686457	0.046522373	0.046723639	0.04834215	0.050811483	0.045791464	0.044884581	0.044496296	0.044952991	0.046154665	0.047631786	0.04907618	0.050358462	0.051429933	0.052264909	0.052827748	0.053029849	0.052715674
96.342857	0	-0.04873626	-0.050074236	-0.049950695	-0.051555956	-0.05658703	-0.059392051	-0.054017148	-0.051393749	-0.055235872	-0.0574059	-0.059875589	-0.062417239	-0.06458651	-0.065686238	0.036368437	0.048027937	0.046875362	0.047075182	0.048693222	0.051163869	0.046144119	0.045236893	0.044848175	0.045304201	0.046505583	0.047982895	0.049427642	0.050710288	0.051782092	0.052617369	0.053180491	0.053382901	0.053069108
97.2	0	-0.049168243	-0.050515272	-0.050393394	-0.051997537	-0.057030371	-0.059839396	-0.054464116	-0.051837004	-0.055679234	-0.057850186	-0.060321215	-0.062864514	-0.065035598	-0.066137004	0.036689814	0.048461784	0.047321306	0.047519576	0.04913716	0.051609249	0.046589554	0.04568194	0.045292759	0.045748108	0.046949237	0.048426813	0.049871984	0.05115505	0.052227229	0.053062838	0.053626267	0.05382901	0.053515627
